epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.70829,2.34152,4.67086,1.85438,0.00156,0.46667,0.00385,0.00108,1.60908,3.65531,1.69052,8e-05,8e-05,8e-05
2,3.66168,1.98544,4.10339,1.72207,0.00222,0.66667,0.04457,0.02903,1.56036,3.51599,1.73632,0.000178218,0.000178218,0.000178218
3,4.61834,1.50998,3.39768,1.3425,0.00333,1,0.84533,0.38849,1.39418,3.13595,1.09091,0.000274456,0.000274456,0.000274456
4,5.55226,1.71393,2.78408,1.36061,0.00333,1,0.73166,0.46169,1.26861,3.05238,1.06064,0.000368714,0.000368714,0.000368714
5,6.47751,1.31153,2.51468,1.09132,0.00333,1,0.84179,0.48789,1.19977,2.89777,1.00829,0.000460992,0.000460992,0.000460992
6,7.35926,1.23716,2.14765,1.05308,0.00333,1,0.73582,0.43864,1.09983,2.94652,0.94473,0.00055129,0.00055129,0.00055129
7,8.30888,1.12552,1.97495,0.94745,0.45372,1,0.84045,0.48869,1.17005,2.733,0.9922,0.000639608,0.000639608,0.000639608
8,9.18617,1.19512,2.06499,1.07473,0.00333,1,0.93545,0.51571,1.12157,2.71321,0.98701,0.000725946,0.000725946,0.000725946
9,10.0915,1.4301,1.83921,1.04484,0.00832,1,0.90798,0.4754,1.26256,2.88821,1.0877,0.000810304,0.000810304,0.000810304
10,11.4139,1.29828,1.88393,1.06013,1,0.19244,0.7693,0.36177,1.3986,2.90049,1.18781,0.000892682,0.000892682,0.000892682
11,12.892,1.23722,1.79232,1.08674,1,0.30018,0.84679,0.47368,1.14671,2.65919,0.98228,0.00097308,0.00097308,0.00097308
12,14.4254,1.26624,1.71961,1.03859,0.74128,0.66667,0.79612,0.50374,1.11367,2.41296,0.98912,0.0010515,0.0010515,0.0010515
13,15.8477,1.03718,3.1084,0.84392,0.70148,0.62781,0.84095,0.57689,1.09833,2.27253,1.01869,0.00112794,0.00112794,0.00112794
14,17.3257,1.18315,1.53272,1.04082,0.67815,0.86667,0.85275,0.48439,1.19696,2.23002,1.14204,0.00120239,0.00120239,0.00120239
15,18.8672,1.76762,1.93433,1.2012,0.92533,0.8274,0.91833,0.42032,1.36399,2.43458,1.14855,0.00127487,0.00127487,0.00127487
