epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.5651,2.01745,3.94003,1.9433,0.00298,0.89474,0.28407,0.16624,1.35604,4.13847,1.42785,0.00024,0.00024,0.00024
2,94.3246,1.44536,2.88647,1.38947,0.00333,1,0.62885,0.41393,1.25651,3.62579,1.22059,0.0004901,0.0004901,0.0004901
3,132.59,1.39815,2.33158,1.30078,1,0.39807,0.65902,0.35068,1.35919,3.46551,1.30121,0.000729904,0.000729904,0.000729904
4,168.903,1.38855,2.28838,1.31351,0.8261,0.57895,0.70614,0.40587,1.54673,3.60688,1.77476,0.000959412,0.000959412,0.000959412
5,205.113,1.26252,2.03833,1.334,0.54006,0.61847,0.60373,0.38316,1.38258,3.63042,1.61145,0.00117862,0.00117862,0.00117862
6,241.355,1.41121,2.12666,1.39503,0.80575,0.57895,0.73404,0.44304,1.42806,3.18535,1.68176,0.00138754,0.00138754,0.00138754
7,277.652,1.31951,1.89634,1.34852,0.66001,0.30738,0.42569,0.22031,1.36362,3.2612,1.58837,0.00158616,0.00158616,0.00158616
8,316.189,1.36571,1.86429,1.36262,0.76887,0.70096,0.76116,0.38291,1.53965,3.05915,1.53472,0.0017228,0.0017228,0.0017228
9,355.804,1.32323,1.84042,1.41638,0.60864,0.63158,0.49973,0.25289,1.63029,2.79025,1.70258,0.0016832,0.0016832,0.0016832
10,392.807,1.3418,1.77634,1.43745,0.75457,0.36842,0.41006,0.24682,1.91893,3.09101,1.99924,0.0016436,0.0016436,0.0016436
11,429.709,1.39391,1.75087,1.44101,0.62551,0.47368,0.56808,0.37348,1.45839,3.99666,1.63312,0.001604,0.001604,0.001604
12,466.091,1.32232,1.7126,1.37125,0.74241,0.68421,0.79549,0.50195,1.22041,2.69829,1.34647,0.0015644,0.0015644,0.0015644
13,502.966,1.20252,1.48639,1.31466,0.6959,0.60301,0.67157,0.3868,1.15333,3.85444,1.28024,0.0015248,0.0015248,0.0015248
14,539.673,1.26507,1.48835,1.35627,0.87029,0.63158,0.81917,0.54066,1.06001,2.19395,1.16268,0.0014852,0.0014852,0.0014852
15,577.286,1.13444,1.3395,1.2562,0.97936,0.52632,0.76567,0.50696,1.27111,1.77421,1.27014,0.0014456,0.0014456,0.0014456
16,615.568,1.23481,1.35209,1.33124,0.81581,0.52632,0.65589,0.44428,1.20428,1.77596,1.17866,0.001406,0.001406,0.001406
17,653.016,1.0711,1.25724,1.21716,0.90071,0.73684,0.84538,0.6099,0.98209,1.5559,1.07369,0.0013664,0.0013664,0.0013664
