epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6857,0,98.6018,0,0.0005,0.15,0.00029,6e-05,4.4882,4.65773,4.09618,0.000657778,0.000657778,0.000657778
2,19.8013,0,59.5667,0,0,0,0,0,nan,nan,nan,0.00131133,0.00131133,0.00131133
3,27.7324,0,34.3413,0,0.0001,0.01667,6e-05,2e-05,4.62954,3.93526,3.74343,0.00195169,0.00195169,0.00195169
4,35.5958,0,15.5305,0,0.00014,0.01667,8e-05,2e-05,4.77108,4.22747,4.05585,0.0019406,0.0019406,0.0019406
5,43.3746,0,6.82153,0,0,0,0,0,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,51.1653,0,nan,0,0,0,0,0,nan,nan,nan,0.001901,0.001901,0.001901
7,58.8927,0,nan,0,0,0,0,0,nan,nan,nan,0.0018812,0.0018812,0.0018812
8,66.6158,0,nan,0,0,0,0,0,nan,nan,nan,0.0018614,0.0018614,0.0018614
9,74.4027,0,nan,0,0,0,0,0,nan,nan,nan,0.0018416,0.0018416,0.0018416
10,82.1395,0,0.14723,0,0,0,0,0,nan,nan,nan,0.0018218,0.0018218,0.0018218
11,89.8992,0,0.14579,0,0,0,0,0,nan,nan,nan,0.001802,0.001802,0.001802
12,97.7177,0,0.15491,0,0,0,0,0,nan,nan,nan,0.0017822,0.0017822,0.0017822
13,105.447,0,nan,0,0,0,0,0,nan,nan,nan,0.0017624,0.0017624,0.0017624
14,113.189,0,0.25236,0,0,0,0,0,nan,nan,nan,0.0017426,0.0017426,0.0017426
15,120.993,0,0.15174,0,0,0,0,0,nan,nan,nan,0.0017228,0.0017228,0.0017228
16,128.685,0,0.13437,0,0,0,0,0,nan,nan,nan,0.001703,0.001703,0.001703
17,136.404,0,0.11874,0,0,0,0,0,nan,nan,nan,0.0016832,0.0016832,0.0016832
18,144.105,0,0.17661,0,0,0,0,0,nan,nan,nan,0.0016634,0.0016634,0.0016634
19,151.967,0,0.13018,0,0,0,0,0,nan,nan,nan,0.0016436,0.0016436,0.0016436
20,159.774,0,0.12099,0,0,0,0,0,nan,nan,nan,0.0016238,0.0016238,0.0016238
21,167.549,0,0.1104,0,0,0,0,0,nan,nan,nan,0.001604,0.001604,0.001604
22,175.33,0,0.16894,0,0,0,0,0,nan,nan,nan,0.0015842,0.0015842,0.0015842
23,183.081,0,0.38995,0,0,0,0,0,nan,nan,nan,0.0015644,0.0015644,0.0015644
24,190.86,0,0.38778,0,0,0,0,0,nan,nan,nan,0.0015446,0.0015446,0.0015446
25,198.582,0,0.13235,0,0,0,0,0,nan,nan,nan,0.0015248,0.0015248,0.0015248
26,206.297,0,0.08241,0,0,0,0,0,nan,nan,nan,0.001505,0.001505,0.001505
27,213.987,0,0.1355,0,0,0,0,0,nan,nan,nan,0.0014852,0.0014852,0.0014852
28,221.801,0,0.09086,0,0,0,0,0,nan,nan,nan,0.0014654,0.0014654,0.0014654
29,229.574,0,0.14025,0,0,0,0,0,nan,nan,nan,0.0014456,0.0014456,0.0014456
30,237.315,0,0.20003,0,0,0,0,0,nan,nan,nan,0.0014258,0.0014258,0.0014258
31,245.158,0,0.11971,0,0,0,0,0,nan,nan,nan,0.001406,0.001406,0.001406
32,252.984,0,0.1332,0,0,0,0,0,nan,nan,nan,0.0013862,0.0013862,0.0013862
