epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,354.237,0.66901,0.99799,0.8518,0.99918,0.99457,0.995,0.90181,0.42778,0.35203,0.79994,0.00333214,0.00333214,0.00333214
2,685.763,0.61257,0.43173,0.84881,0.99932,0.99308,0.995,0.89263,0.481,0.31929,0.81449,0.0065335,0.0065335,0.0065335
3,1013.96,0.59424,0.38781,0.8516,0.99887,0.99253,0.99499,0.89395,0.48454,0.28883,0.83518,0.00960286,0.00960286,0.00960286
4,1377.43,0.55536,0.35135,0.84925,0.99813,0.99253,0.99499,0.89688,0.49169,0.26642,0.83229,0.009406,0.009406,0.009406
5,1704.79,0.52094,0.32043,0.8453,0.99856,0.99117,0.99496,0.91252,0.4258,0.23938,0.81584,0.009208,0.009208,0.009208
6,2028.31,0.50267,0.30419,0.84316,0.99893,0.99253,0.99499,0.90137,0.46324,0.22684,0.83564,0.00901,0.00901,0.00901
7,2352.95,0.49052,0.29273,0.8393,0.99922,0.99253,0.995,0.90113,0.45592,0.22051,0.83178,0.008812,0.008812,0.008812
8,2674.52,0.48344,0.28443,0.83991,0.9984,0.99525,0.995,0.913,0.42977,0.20551,0.82342,0.008614,0.008614,0.008614
9,2996.4,0.47886,0.27852,0.83817,1,0.99312,0.995,0.90873,0.45446,0.20846,0.83159,0.008416,0.008416,0.008416
10,3319.41,0.47139,0.27203,0.83793,1,0.99307,0.995,0.90908,0.45092,0.20149,0.83119,0.008218,0.008218,0.008218
11,3641.9,0.46792,0.26773,0.83594,1,0.99318,0.995,0.90486,0.45812,0.20332,0.83112,0.00802,0.00802,0.00802
12,3964.73,0.46539,0.26467,0.8356,0.9981,0.99525,0.995,0.89943,0.47679,0.20484,0.83439,0.007822,0.007822,0.007822
13,4288.09,0.46127,0.26008,0.83513,0.99932,0.99303,0.995,0.90198,0.47457,0.2025,0.83255,0.007624,0.007624,0.007624
14,4611.35,0.46026,0.25902,0.83491,0.99864,0.99492,0.995,0.89738,0.48772,0.19896,0.83576,0.007426,0.007426,0.007426
15,4933.71,0.45792,0.25632,0.83299,0.99796,0.99593,0.995,0.90448,0.45951,0.19267,0.82768,0.007228,0.007228,0.007228
16,5282.98,0.45448,0.25324,0.83307,0.99932,0.99582,0.995,0.90245,0.4677,0.19465,0.82979,0.00703,0.00703,0.00703
17,5658.09,0.45329,0.25208,0.83187,0.99932,0.99309,0.995,0.90066,0.47561,0.19489,0.83179,0.006832,0.006832,0.006832
18,6031.07,0.45064,0.24879,0.83296,0.99992,0.99253,0.995,0.90196,0.46978,0.1926,0.8309,0.006634,0.006634,0.006634
19,6388.4,0.44938,0.24659,0.83173,0.99986,0.99253,0.995,0.90354,0.46594,0.19192,0.82895,0.006436,0.006436,0.006436
20,6839.83,0.44725,0.24612,0.83348,0.99988,0.99253,0.995,0.90258,0.47275,0.1925,0.83139,0.006238,0.006238,0.006238
21,7179.66,0.44583,0.24253,0.8305,0.99988,0.99253,0.995,0.90098,0.47668,0.19244,0.8325,0.00604,0.00604,0.00604
22,7620.02,0.44431,0.24192,0.83005,0.99985,0.99253,0.995,0.9009,0.47659,0.19187,0.8324,0.005842,0.005842,0.005842
23,8086.2,0.44197,0.24019,0.82915,0.99864,0.99455,0.995,0.90052,0.47636,0.19172,0.83165,0.005644,0.005644,0.005644
24,8427.22,0.44323,0.24022,0.82882,0.99864,0.99489,0.995,0.8994,0.47709,0.19184,0.83171,0.005446,0.005446,0.005446
25,8771.99,0.44039,0.23631,0.82876,0.99923,0.99457,0.995,0.89952,0.47676,0.19136,0.83166,0.005248,0.005248,0.005248
26,9248.47,0.43815,0.23399,0.82942,0.99932,0.99401,0.995,0.90043,0.47666,0.19111,0.83131,0.00505,0.00505,0.00505
27,9658.85,0.43764,0.23307,0.82809,0.99903,0.99389,0.995,0.90023,0.47666,0.19151,0.83109,0.004852,0.004852,0.004852
28,10038.2,0.43713,0.23188,0.82784,0.99932,0.99442,0.995,0.89951,0.47748,0.19149,0.83113,0.004654,0.004654,0.004654
29,10419.3,0.43498,0.23017,0.82735,0.99932,0.99379,0.995,0.89953,0.47709,0.19158,0.83083,0.004456,0.004456,0.004456
30,10774.3,0.43378,0.22992,0.82865,0.99932,0.99365,0.995,0.89923,0.4782,0.19149,0.83097,0.004258,0.004258,0.004258
31,11142.7,0.43192,0.22748,0.82639,0.99988,0.99253,0.995,0.89901,0.47969,0.19093,0.83145,0.00406,0.00406,0.00406
32,11522.4,0.42929,0.22507,0.82766,0.99988,0.99253,0.995,0.89926,0.482,0.19164,0.83184,0.003862,0.003862,0.003862
33,11901.9,0.42888,0.22347,0.82437,0.99988,0.99253,0.995,0.89841,0.48418,0.1918,0.83247,0.003664,0.003664,0.003664
34,12277.5,0.42728,0.22326,0.82565,0.99988,0.99253,0.995,0.8988,0.48554,0.19179,0.83272,0.003466,0.003466,0.003466
35,12636.3,0.4245,0.22025,0.82476,0.99989,0.99253,0.995,0.89829,0.48648,0.19209,0.83293,0.003268,0.003268,0.003268
36,12955.9,0.4238,0.21934,0.82509,0.99988,0.99253,0.995,0.89859,0.48806,0.19175,0.83326,0.00307,0.00307,0.00307
37,13278.8,0.42382,0.21767,0.82474,0.99988,0.99253,0.995,0.89739,0.48939,0.19204,0.83359,0.002872,0.002872,0.002872
38,13599.6,0.42052,0.21608,0.82531,0.99988,0.99253,0.995,0.89735,0.49105,0.19158,0.83394,0.002674,0.002674,0.002674
39,13923.7,0.41948,0.21409,0.82533,0.99988,0.99253,0.995,0.89743,0.49206,0.19117,0.8342,0.002476,0.002476,0.002476
40,14249,0.41847,0.21239,0.82536,0.99988,0.99253,0.995,0.89651,0.49276,0.19122,0.83444,0.002278,0.002278,0.002278
41,14590.9,0.40933,0.20719,0.82827,0.99987,0.99253,0.995,0.89737,0.49216,0.19127,0.83421,0.00208,0.00208,0.00208
42,14913.5,0.40556,0.20276,0.82864,0.99925,0.99321,0.995,0.89748,0.49149,0.19078,0.83431,0.001882,0.001882,0.001882
43,15235.7,0.40361,0.20103,0.83145,0.99924,0.99321,0.995,0.8974,0.49085,0.19018,0.83433,0.001684,0.001684,0.001684
44,15557.3,0.40252,0.19795,0.82938,0.99923,0.99321,0.995,0.89829,0.48995,0.18951,0.83421,0.001486,0.001486,0.001486
45,15950.7,0.3989,0.19518,0.8285,0.99829,0.99457,0.995,0.8978,0.48992,0.18929,0.8343,0.001288,0.001288,0.001288
46,16449.2,0.3971,0.19258,0.82662,0.99824,0.99457,0.995,0.89766,0.49176,0.18942,0.83454,0.00109,0.00109,0.00109
47,16823.3,0.39359,0.18889,0.82614,0.99932,0.99385,0.995,0.89663,0.49405,0.18923,0.83519,0.000892,0.000892,0.000892
48,17143.8,0.39134,0.18396,0.82348,0.99932,0.99374,0.995,0.8962,0.49596,0.18899,0.83572,0.000694,0.000694,0.000694
49,17464.1,0.38838,0.18229,0.82332,0.99932,0.99377,0.995,0.89548,0.49854,0.18896,0.83623,0.000496,0.000496,0.000496
50,17783.6,0.38562,0.17862,0.82394,0.99932,0.99379,0.995,0.89425,0.50189,0.18958,0.83693,0.000298,0.000298,0.000298
