epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,740.102,0.76841,0.80705,0.91153,0.98416,0.98413,0.99141,0.83806,0.61774,0.45172,0.88931,0.0700079,0.00333245,0.00333245
2,1449.1,0.72207,0.49768,0.91792,0.98892,0.98654,0.99408,0.85836,0.59817,0.39235,0.89778,0.0399813,0.00663912,0.00663912
3,2108.3,0.70996,0.47283,0.93108,0.98513,0.98759,0.99376,0.87404,0.57933,0.35037,0.92193,0.00992795,0.00991912,0.00991912
4,2684.16,0.67475,0.43309,0.93654,0.98973,0.98365,0.99398,0.87504,0.58853,0.30996,0.94077,0.00988,0.00988,0.00988
5,3239.56,0.64151,0.39922,0.93134,0.98857,0.98894,0.99375,0.88459,0.55651,0.28731,0.92573,0.00984,0.00984,0.00984
6,3699.23,0.6259,0.37977,0.92777,0.99054,0.9875,0.99415,0.88957,0.54926,0.26898,0.92145,0.0098,0.0098,0.0098
7,4422.19,0.61135,0.36666,0.92445,0.99017,0.98654,0.99412,0.88975,0.54655,0.25994,0.91598,0.00976,0.00976,0.00976
8,5152.26,0.60416,0.35679,0.92335,0.98941,0.98812,0.99407,0.88939,0.54834,0.25635,0.91303,0.00972,0.00972,0.00972
9,5833.31,0.59895,0.3518,0.92324,0.99083,0.98731,0.99415,0.89022,0.54384,0.25047,0.91253,0.00968,0.00968,0.00968
10,6493.38,0.5922,0.34563,0.91792,0.99155,0.98702,0.99421,0.89181,0.53718,0.2468,0.90772,0.00964,0.00964,0.00964
11,7059.63,0.59009,0.34207,0.91861,0.99104,0.98702,0.99421,0.89232,0.53953,0.24323,0.90806,0.0096,0.0096,0.0096
12,7651.6,0.58796,0.33908,0.9186,0.98894,0.98871,0.9942,0.89271,0.53652,0.24171,0.90587,0.00956,0.00956,0.00956
13,8141.35,0.58302,0.33522,0.9162,0.98941,0.98862,0.9943,0.89238,0.53546,0.23832,0.90534,0.00952,0.00952,0.00952
14,8760.14,0.58014,0.33189,0.91576,0.98692,0.99087,0.9943,0.89298,0.5344,0.23662,0.90468,0.00948,0.00948,0.00948
15,9264.78,0.57951,0.32899,0.9165,0.98982,0.98846,0.9943,0.89453,0.53046,0.2342,0.90298,0.00944,0.00944,0.00944
16,9778.51,0.57892,0.32711,0.91546,0.98954,0.98894,0.99428,0.89629,0.52877,0.23281,0.90247,0.0094,0.0094,0.0094
17,10290.5,0.57996,0.32662,0.9155,0.98989,0.98831,0.99431,0.89554,0.52933,0.23253,0.90243,0.00936,0.00936,0.00936
18,10802.7,0.57666,0.32599,0.91393,0.98847,0.98944,0.99433,0.89524,0.53044,0.23229,0.90287,0.00932,0.00932,0.00932
19,11313.5,0.576,0.32443,0.91358,0.98989,0.98827,0.99434,0.89596,0.53009,0.2315,0.90271,0.00928,0.00928,0.00928
20,11826.1,0.57462,0.32099,0.91518,0.98989,0.98828,0.99432,0.896,0.53077,0.23118,0.90266,0.00924,0.00924,0.00924
21,12322.9,0.57471,0.32312,0.91497,0.98989,0.98833,0.9943,0.89572,0.52958,0.2307,0.90145,0.0092,0.0092,0.0092
22,12756.9,0.57219,0.32127,0.91253,0.98989,0.98842,0.99431,0.89667,0.53042,0.23194,0.90153,0.00916,0.00916,0.00916
23,13192.4,0.57153,0.32075,0.91402,0.98989,0.98845,0.99432,0.89624,0.53085,0.23244,0.9017,0.00912,0.00912,0.00912
24,13652.5,0.57179,0.31898,0.91557,0.99037,0.98895,0.99437,0.8957,0.53175,0.23233,0.90187,0.00908,0.00908,0.00908
25,14109.1,0.57068,0.3186,0.9131,0.99037,0.98907,0.99439,0.89474,0.53352,0.23369,0.90247,0.00904,0.00904,0.00904
26,14544.8,0.57073,0.31719,0.91371,0.99037,0.98927,0.99441,0.89532,0.53322,0.23302,0.90233,0.009,0.009,0.009
27,14977.2,0.56795,0.31476,0.91397,0.99037,0.98934,0.99441,0.89502,0.53294,0.23264,0.90219,0.00896,0.00896,0.00896
28,15408.4,0.57009,0.31601,0.91436,0.99037,0.98923,0.99442,0.89546,0.5327,0.23261,0.90202,0.00892,0.00892,0.00892
29,15840.2,0.56724,0.31428,0.91456,0.98956,0.98846,0.99436,0.89545,0.53219,0.23285,0.90176,0.00888,0.00888,0.00888
